timestamp,cpu_power_watt,gpu_power_watt,memory_used_mb,disk_read_mb_s,disk_write_mb_s,gpu_usage_percent,gpu_model,system_power_watt,device_id,user_id,agent_version,os_type,os_version,location,cpu_model,cpu_count,total_memory,disk_partitions,network_interfaces,platform_machine,platform_architecture,is_ai_spike,system_power_kw,usage_pattern,is_anomaly,anomaly_reason
2025-10-29T05:34:03.158Z,21.45,10.0,12177.265625,0.0,0.06999999999999984,0.0,Generic GPU,119.96,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11996,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:35:06.243Z,17.95,10.0,12170.25390625,0.0,0.06999999999999984,0.0,Generic GPU,116.05000000000001,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11605000000000001,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:36:09.322Z,17.68,10.0,12209.90625,0.0,0.009999999999999787,0.0,Generic GPU,115.9,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.1159,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:37:12.407Z,19.95,10.0,12170.921875,0.0,-4.440892098500626e-16,0.0,Generic GPU,118.27,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11827,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:39:16.487Z,19.21,10.0,12293.5703125,0.1299999999999999,0.020000000000000018,0.0,Generic GPU,117.91,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11791,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:40:19.587Z,19.18,10.0,12254.7265625,0.0,0.14000000000000012,0.0,Generic GPU,117.73,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11773,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:41:34.677Z,17.82,10.0,12319.45703125,0.0,0.08999999999999986,0.0,Generic GPU,116.47,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11647,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:42:37.740Z,18.38,10.0,12282.2890625,0.0,0.10999999999999988,0.0,Generic GPU,116.95,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11695,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:43:40.782Z,19.43,10.0,12288.6328125,0.0,0.009999999999999787,0.0,Generic GPU,118.14,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11814,idle,False,GPU model unknown and replaced with generic placeholder
2025-10-29T05:44:43.855Z,20.89,10.0,12154.3203125,0.0,0.1200000000000001,0.0,Generic GPU,119.25,233497587702774,ckklab,v1.4.0,Windows,10.0.26100,Unknown,"Intel64 Family 6 Model 158 Stepping 10, GenuineIntel",6,17015902208,1,3,AMD64,64bit,False,0.11925,idle,False,GPU model unknown and replaced with generic placeholder
